Latitude(deg),Longitude(deg),TxxParker,TxyParker,TxzParker,TyyParker,TyzParker,TzzParker
32.4,51.7,-4.3445121123592365,-17.50100410289126,-16.764241875199147,3.565046823100671,17.188624713910105,0.7794652894022253
32.4,51.8,22.223711871074805,-7.7682127840764075,2.2851543283667297,24.54782600084044,-42.67712477123097,-46.771537871771585
32.4,51.9,25.278495799387226,17.841650326999662,-23.92718143868574,8.686020448637862,-13.662495896498797,-33.96451624788144
32.4,52.0,104.26845660063,19.122434092346605,63.39804105942601,1.1880562986147025,6.982212908177695,-105.45651289910096
32.5,50.0,-110.37610890595668,-5.090784885710558,177.62404165756203,-119.12845696616287,-43.25607237325011,229.50456587226316
32.5,50.1,-105.94983838190875,47.328109614525545,-89.50112406075162,-112.19594253611055,4.916390440597006,218.14578091816296
32.5,50.2,12.813894801718442,-20.666244086665785,-97.37735224172478,35.8426628263239,49.94476175909954,-48.656557627898714
32.5,50.3,27.510828860956497,-41.89959510830193,29.478753886593942,72.68301829897057,-51.551235969317666,-100.19384715978336
32.5,50.4,-24.476155718410553,12.227373702531485,-8.690954428434884,21.145753516938562,-50.43370742427882,3.330402201615676
32.5,50.5,30.732122903061708,2.342581415474908,43.005878861929006,2.4307547139239096,-29.068419260639793,-33.16287761684196
32.5,50.6,-69.65310359853686,26.532286762863396,6.135675922082408,-54.17715082657842,3.2612549241312627,123.83025442525896
32.5,50.7,10.953606907115985,-6.502461206836247,-60.59973894430244,-7.394176836400013,21.006803031498766,-3.5594300705722843
32.5,50.8,10.74643831194451,19.94148649523738,3.99043868063296,-5.755167525251029,-7.416218947225945,-4.991270786549792
32.5,50.9,-7.587114954527992,15.722924334259883,-4.756366108808362,-15.834036866489921,70.87220705420923,23.421151821161626
32.5,51.0,-1.8171741653465439,-30.892578802931904,-17.31965983796155,15.287092096304008,24.52183197334715,-13.469917930813788
32.5,51.1,-8.401036948687457,-8.300826923439937,-0.8552368725708263,-1.1424555881373677,-6.144893679518029,9.543492536968499
32.5,51.2,5.541102095327277,-22.6343244305442,-37.581997585255756,12.159078734600241,-37.52448447736637,-17.700180829783847
32.5,51.3,8.209510929940127,13.270719791668956,-2.307034586136435,33.18138607031943,-51.08995980500982,-41.39089700011589
32.5,51.4,15.6210607610057,10.320393771529863,-7.995980045563666,1.8658359034069052,-20.10026979201998,-17.486896664268933
32.5,51.5,10.835831971957973,5.669138926469406,-1.2638467594030252,3.6708745520543298,0.9374773051136442,-14.506706523868637
32.5,51.6,18.951276856171265,-13.230636632244936,13.997828344593152,0.7530107772836684,-10.487934033503446,-19.70428763331126
32.5,51.7,-11.747801049143568,14.295235051095192,-12.636580178825128,-5.888078165653794,-13.97626308710082,17.63587921494104
32.5,51.8,33.158583519896524,3.30413924487121,-1.3103458785039872,1.7439851960065091,24.711317942861363,-34.90256871575936
32.5,51.9,18.348794244826532,-6.006929000250616,-33.54550068304061,2.778090099963515,7.7755402498795565,-21.12688434464633
32.5,52.0,136.58528155859588,-15.7300080336011,101.50910085788955,-9.059037830917543,-6.808838151277351,-127.52624372753468
32.6,50.0,-21.06871200863647,-37.88273623584238,38.211171229440524,122.1102631498288,-62.25815842442686,-101.04155114104863
32.6,50.1,-12.445898170674214,30.229313767044147,114.42582862921137,69.38515790496021,-94.02615250730487,-56.93925973414232
32.6,50.2,-135.09154610174207,50.96190873224903,2.163067794043589,-63.08668744359907,36.41247487553932,198.17823354548474
32.6,50.3,34.27764770771791,-30.409278975260055,-102.08776553388651,-33.99134806133512,51.23509484677437,-0.28629964623911214
32.6,50.4,6.876510847837208,-11.71901405436642,14.84581690564088,-3.8158492885314756,-9.43014245024426,-3.0606615591620403
32.6,50.5,6.16691546646397,-15.754070703759506,-22.250470899969365,17.055190450942394,-14.805626245280411,-23.222105917262667
32.6,50.6,-7.092343903250986,-18.84979380514513,15.667653723254483,42.5083613432866,-82.49999276183479,-35.41601743989193
32.6,50.7,-10.956559487224306,44.72130711180739,2.3894161470888324,-1.2386858900112132,-66.85472772643033,12.195245377379194
32.6,50.8,3.802366256221752,4.4240844963118375,-11.71455133474118,13.971389447844672,26.211045498379413,-17.773755703922763
32.6,50.9,-7.836888920650337,-10.356485068779724,35.458351743594434,-7.054487859602603,-34.97536963487904,14.891376780396632
32.6,51.0,-35.752935703454355,6.461570413516677,-40.13078270526679,-33.00331253568836,-4.1631655859851255,68.7562482392864
32.6,51.1,22.163942413358043,4.341823008887518,-32.72094456426607,3.9454669590157234,-21.296219328818463,-26.1094093722301
32.6,51.2,4.631412729413783,20.389425152907968,-15.085714208710316,26.07111995658766,27.072696551049916,-30.702532685857758
32.6,51.3,13.524079500403381,9.889525069411041,-3.1793289075591935,22.667272887165424,38.67372756869911,-36.191352387425134
32.6,51.4,-0.15089870724256282,-3.285184835404841,-10.68661729264893,55.2477373443585,64.10219293419262,-55.09683863697226
32.6,51.5,11.502795478056653,-28.537915770770134,4.050251936002636,21.49839508054351,9.575376119584138,-33.00119055845649
32.6,51.6,15.095225112556252,-1.5867550104624535,-7.771222348667843,5.281423696800883,4.092805001329978,-20.37664880921346
32.6,51.7,14.027446569433264,-7.360955182894444,4.022867070745031,8.827077100750124,-6.632518548555844,-22.854523670039697
32.6,51.8,12.217101114124674,4.392119566153493,1.8855123343783358,-0.21369424378536256,-12.351431402278582,-12.003406870195633
32.6,51.9,25.076780709155912,4.145858152397842,-19.99112583334713,2.7942103027914915,-3.8067641202689497,-27.870991011803735
32.6,52.0,61.03355909813254,-14.214745828001865,32.49858611566319,15.651201482665428,4.33781744830699,-76.68476058065426
32.7,50.0,-97.93024970799914,25.804702928472484,79.86935149628184,-39.366340673285066,101.02298260840713,137.29659038142788
32.7,50.1,3.090398806745785,-59.9812483051823,-19.01301094323654,6.148093459094468,76.69769237898929,-9.238492265696598
32.7,50.2,-87.64981995632749,-29.861297049563486,32.07015530639462,12.092436562078474,-55.875059423891614,75.55738339439269
32.7,50.3,7.578288885026463,36.749853767817704,-83.72676251775268,6.468009120961579,-22.64721157380675,-14.046298005844372
32.7,50.4,13.467754571920699,8.279389619725936,4.988504928810476,23.077754949371187,31.577200672788717,-36.5455095211482
32.7,50.5,10.105336374858313,13.99622837096578,-0.6589235354544802,19.945149023545312,21.676273074255956,-30.050485398259948
32.7,50.6,-18.39851092176865,39.597648377348136,-13.909703546267748,46.592031461855996,85.32511934775209,-28.19352053994366
32.7,50.7,7.080115174285217,-40.98924016144736,19.27622791741373,84.6868714941356,97.05335745645272,-91.76698666827716
32.7,50.8,-26.51914093656975,-24.342057516837652,3.7628417274493486,-10.002247285697468,-25.510950640547804,36.5213882224109
32.7,50.9,1.5549986522615376,9.384265014605871,-8.13775098764071,11.846738697446398,22.384595400159633,-13.401737349564241
32.7,51.0,-10.237396869864446,-0.48312350174493546,-40.23717558412691,39.86380474379103,-4.391291824780359,-29.626407873782895
32.7,51.1,26.796790162277468,22.962768717407307,36.287569519618394,21.56460191155991,45.75241959310648,-48.36139207369371
32.7,51.2,-26.99287676198869,-21.486823537378008,-32.77123078740457,-13.591549050720392,26.968806674062034,40.58442581285275
32.7,51.3,55.83287164359661,-1.9122005432233296,49.33765110087198,-41.170747478380505,4.964408330511909,-14.662124165072447
32.7,51.4,-74.28969350852492,-0.05930495348609272,-3.9561467701008284,-100.5251750492636,18.45140717793747,174.81486855793213
32.7,51.5,37.62858212436101,-7.322539282310222,-84.7304864976137,-40.65008179718388,11.322828893160322,3.02149967296654
